Data;Hora;Chuva (mm);Nível (cm);Vazão (m3/s);
01/11/2023;00:00:00;5.8             ;159             ;6.9;
01/11/2023;01:00:00;4.6             ;160             ;7.04;
01/11/2023;02:00:00;6.2             ;165             ;7.93;
01/11/2023;03:00:00;1.6             ;174             ;10.19;
01/11/2023;04:00:00;0.8             ;195             ;16.5;
01/11/2023;05:00:00;0             ;229             ;29.65;
01/11/2023;06:00:00;0.6             ;261             ;45.26;
01/11/2023;07:00:00;0.4             ;268             ;49.08;
01/11/2023;08:00:00;0             ;263             ;46.34;
01/11/2023;09:00:00;0             ;254             ;41.58;
01/11/2023;10:00:00;0             ;245             ;37.07;
01/11/2023;11:00:00;0             ;242             ;35.62;
01/11/2023;12:00:00;0             ;258             ;43.66;
01/11/2023;13:00:00;0             ;273             ;51.9;
01/11/2023;14:00:00;0             ;276             ;53.63;
01/11/2023;15:00:00;0             ;275             ;53.05;
01/11/2023;16:00:00;0             ;270             ;50.2;
01/11/2023;17:00:00;0             ;263             ;46.34;
01/11/2023;18:00:00;1.2             ;256             ;42.62;
01/11/2023;19:00:00;0.8             ;246             ;37.56;
01/11/2023;20:00:00;0             ;237             ;33.26;
01/11/2023;21:00:00;0             ;230             ;30.09;
01/11/2023;22:00:00;0             ;225             ;27.92;
01/11/2023;23:00:00;0             ;220             ;25.82;
02/11/2023;00:00:00;0             ;217             ;24.6;
02/11/2023;01:00:00;0             ;213             ;23.01;
02/11/2023;02:00:00;0             ;210             ;21.86;
02/11/2023;03:00:00;0             ;208             ;21.1;
02/11/2023;04:00:00;0             ;206             ;20.36;
02/11/2023;05:00:00;0             ;203             ;19.27;
02/11/2023;06:00:00;0             ;202             ;18.91;
02/11/2023;07:00:00;0             ;201             ;18.55;
02/11/2023;08:00:00;0             ;201             ;18.55;
02/11/2023;09:00:00;0             ;202             ;18.91;
02/11/2023;10:00:00;0             ;204             ;19.63;
02/11/2023;11:00:00;1             ;208             ;21.1;
02/11/2023;12:00:00;0             ;208             ;21.1;
02/11/2023;13:00:00;0             ;206             ;20.36;
02/11/2023;14:00:00;0             ;202             ;18.91;
02/11/2023;15:00:00;0             ;200             ;18.2;
02/11/2023;16:00:00;0             ;197             ;17.17;
02/11/2023;17:00:00;0             ;197             ;17.17;
02/11/2023;18:00:00;0             ;195             ;16.5;
02/11/2023;19:00:00;0             ;194             ;16.16;
02/11/2023;20:00:00;0             ;193             ;15.83;
02/11/2023;21:00:00;0             ;191             ;15.19;
02/11/2023;22:00:00;0             ;190             ;14.87;
02/11/2023;23:00:00;0             ;189             ;14.55;
03/11/2023;00:00:00;0             ;188             ;14.24;
03/11/2023;01:00:00;0             ;186             ;13.62;
03/11/2023;02:00:00;0             ;184             ;13.02;
03/11/2023;03:00:00;0             ;184             ;13.02;
03/11/2023;04:00:00;0             ;183             ;12.72;
03/11/2023;05:00:00;0             ;183             ;12.72;
03/11/2023;06:00:00;0             ;182             ;12.42;
03/11/2023;07:00:00;0             ;180             ;11.85;
03/11/2023;08:00:00;0             ;179             ;11.56;
03/11/2023;09:00:00;0             ;178             ;11.28;
03/11/2023;10:00:00;0             ;178             ;11.28;
03/11/2023;11:00:00;0             ;177             ;11;
03/11/2023;12:00:00;0             ;175             ;10.46;
03/11/2023;13:00:00;0             ;175             ;10.46;
03/11/2023;14:00:00;0             ;174             ;10.19;
03/11/2023;15:00:00;0             ;174             ;10.19;
03/11/2023;16:00:00;0             ;174             ;10.19;
03/11/2023;17:00:00;0             ;174             ;10.19;
03/11/2023;18:00:00;0             ;174             ;10.19;
03/11/2023;19:00:00;0             ;174             ;10.19;
03/11/2023;20:00:00;0             ;174             ;10.19;
03/11/2023;21:00:00;0             ;173             ;9.93;
03/11/2023;22:00:00;0             ;173             ;9.93;
03/11/2023;23:00:00;0             ;173             ;9.93;
04/11/2023;00:00:00;0             ;172             ;9.66;
04/11/2023;01:00:00;0             ;172             ;9.66;
04/11/2023;02:00:00;0             ;171             ;9.41;
04/11/2023;03:00:00;0             ;171             ;9.41;
04/11/2023;04:00:00;0             ;171             ;9.41;
04/11/2023;05:00:00;0             ;171             ;9.41;
04/11/2023;06:00:00;0             ;171             ;9.41;
04/11/2023;07:00:00;0             ;169             ;8.9;
04/11/2023;08:00:00;0             ;168             ;8.65;
04/11/2023;09:00:00;1.6             ;168             ;8.65;
04/11/2023;10:00:00;0.2             ;168             ;8.65;
04/11/2023;11:00:00;0             ;167             ;8.41;
04/11/2023;12:00:00;0             ;167             ;8.41;
04/11/2023;13:00:00;0             ;166             ;8.16;
04/11/2023;14:00:00;0             ;166             ;8.16;
04/11/2023;15:00:00;0             ;166             ;8.16;
04/11/2023;16:00:00;0             ;166             ;8.16;
04/11/2023;17:00:00;0             ;166             ;8.16;
04/11/2023;18:00:00;0             ;166             ;8.16;
04/11/2023;19:00:00;0             ;166             ;8.16;
04/11/2023;20:00:00;0             ;166             ;8.16;
04/11/2023;21:00:00;0             ;164             ;7.69;
04/11/2023;22:00:00;0             ;164             ;7.69;
04/11/2023;23:00:00;0             ;164             ;7.69;
05/11/2023;00:00:00;0             ;164             ;7.69;
05/11/2023;01:00:00;0             ;164             ;7.69;
05/11/2023;02:00:00;0             ;163             ;7.47;
05/11/2023;03:00:00;0             ;163             ;7.47;
05/11/2023;04:00:00;0             ;164             ;7.69;
05/11/2023;05:00:00;0             ;163             ;7.47;
05/11/2023;06:00:00;0             ;163             ;7.47;
05/11/2023;07:00:00;0             ;163             ;7.47;
05/11/2023;08:00:00;0             ;162             ;7.33;
05/11/2023;09:00:00;0             ;163             ;7.47;
05/11/2023;10:00:00;0             ;162             ;7.33;
05/11/2023;11:00:00;0             ;162             ;7.33;
05/11/2023;12:00:00;0             ;161             ;7.18;
05/11/2023;13:00:00;0             ;161             ;7.18;
05/11/2023;14:00:00;0             ;161             ;7.18;
05/11/2023;15:00:00;0             ;161             ;7.18;
05/11/2023;16:00:00;0             ;161             ;7.18;
05/11/2023;17:00:00;0             ;161             ;7.18;
05/11/2023;18:00:00;0             ;161             ;7.18;
05/11/2023;19:00:00;0             ;161             ;7.18;
05/11/2023;20:00:00;0             ;160             ;7.04;
05/11/2023;21:00:00;0             ;160             ;7.04;
05/11/2023;22:00:00;0             ;160             ;7.04;
05/11/2023;23:00:00;0             ;160             ;7.04;
06/11/2023;00:00:00;0             ;160             ;7.04;
06/11/2023;01:00:00;0             ;160             ;7.04;
06/11/2023;02:00:00;0             ;160             ;7.04;
06/11/2023;03:00:00;0             ;160             ;7.04;
06/11/2023;04:00:00;0             ;160             ;7.04;
06/11/2023;05:00:00;0             ;160             ;7.04;
06/11/2023;06:00:00;0             ;158             ;6.76;
06/11/2023;07:00:00;0             ;158             ;6.76;
06/11/2023;08:00:00;0             ;158             ;6.76;
06/11/2023;09:00:00;0             ;157             ;6.62;
06/11/2023;10:00:00;0             ;157             ;6.62;
06/11/2023;11:00:00;0             ;156             ;6.48;
06/11/2023;12:00:00;0             ;157             ;6.62;
06/11/2023;13:00:00;0             ;156             ;6.48;
06/11/2023;14:00:00;0             ;156             ;6.48;
06/11/2023;15:00:00;0             ;155             ;6.34;
06/11/2023;16:00:00;0             ;155             ;6.34;
06/11/2023;17:00:00;0             ;155             ;6.34;
06/11/2023;18:00:00;0             ;155             ;6.34;
06/11/2023;19:00:00;0             ;156             ;6.48;
06/11/2023;20:00:00;0             ;155             ;6.34;
06/11/2023;21:00:00;0             ;156             ;6.48;
06/11/2023;22:00:00;0             ;156             ;6.48;
06/11/2023;23:00:00;0             ;155             ;6.34;
07/11/2023;00:00:00;0             ;156             ;6.48;
07/11/2023;01:00:00;0             ;155             ;6.34;
07/11/2023;02:00:00;0             ;156             ;6.48;
07/11/2023;03:00:00;0             ;155             ;6.34;
07/11/2023;04:00:00;0             ;155             ;6.34;
07/11/2023;05:00:00;0             ;155             ;6.34;
07/11/2023;06:00:00;0             ;155             ;6.34;
07/11/2023;07:00:00;0             ;153             ;6.07;
07/11/2023;08:00:00;0             ;153             ;6.07;
07/11/2023;09:00:00;0             ;153             ;6.07;
07/11/2023;10:00:00;0             ;152             ;5.94;
07/11/2023;11:00:00;0             ;152             ;5.94;
07/11/2023;12:00:00;0             ;152             ;5.94;
07/11/2023;13:00:00;0             ;151             ;5.8;
07/11/2023;14:00:00;0             ;151             ;5.8;
07/11/2023;15:00:00;0             ;151             ;5.8;
07/11/2023;16:00:00;0             ;151             ;5.8;
07/11/2023;17:00:00;0             ;151             ;5.8;
07/11/2023;18:00:00;0             ;151             ;5.8;
07/11/2023;19:00:00;0             ;151             ;5.8;
07/11/2023;20:00:00;0             ;151             ;5.8;
07/11/2023;21:00:00;0             ;152             ;5.94;
07/11/2023;22:00:00;0             ;152             ;5.94;
07/11/2023;23:00:00;0             ;151             ;5.8;
08/11/2023;00:00:00;0             ;152             ;5.94;
08/11/2023;01:00:00;0             ;152             ;5.94;
08/11/2023;02:00:00;0             ;152             ;5.94;
08/11/2023;03:00:00;0             ;152             ;5.94;
08/11/2023;04:00:00;0             ;151             ;5.8;
08/11/2023;05:00:00;0             ;151             ;5.8;
08/11/2023;06:00:00;0             ;151             ;5.8;
08/11/2023;07:00:00;0             ;151             ;5.8;
08/11/2023;08:00:00;0             ;150             ;5.67;
08/11/2023;09:00:00;0             ;150             ;5.67;
08/11/2023;10:00:00;0             ;150             ;5.67;
08/11/2023;11:00:00;0             ;150             ;5.67;
08/11/2023;12:00:00;0             ;149             ;5.54;
08/11/2023;13:00:00;0             ;149             ;5.54;
08/11/2023;14:00:00;0             ;149             ;5.54;
08/11/2023;15:00:00;0             ;149             ;5.54;
08/11/2023;16:00:00;0             ;149             ;5.54;
08/11/2023;17:00:00;0             ;149             ;5.54;
08/11/2023;18:00:00;0             ;149             ;5.54;
08/11/2023;19:00:00;0             ;149             ;5.54;
08/11/2023;20:00:00;0             ;149             ;5.54;
08/11/2023;21:00:00;0             ;149             ;5.54;
08/11/2023;22:00:00;0             ;149             ;5.54;
08/11/2023;23:00:00;0             ;149             ;5.54;
09/11/2023;00:00:00;0             ;149             ;5.54;
09/11/2023;01:00:00;0             ;149             ;5.54;
09/11/2023;02:00:00;0             ;149             ;5.54;
09/11/2023;03:00:00;0             ;149             ;5.54;
09/11/2023;04:00:00;0             ;149             ;5.54;
09/11/2023;05:00:00;0             ;149             ;5.54;
09/11/2023;06:00:00;0             ;147             ;5.28;
09/11/2023;07:00:00;0             ;147             ;5.28;
09/11/2023;08:00:00;0             ;147             ;5.28;
09/11/2023;09:00:00;0             ;147             ;5.28;
09/11/2023;10:00:00;0             ;147             ;5.28;
09/11/2023;11:00:00;0             ;146             ;5.15;
09/11/2023;12:00:00;0             ;146             ;5.15;
09/11/2023;13:00:00;0             ;146             ;5.15;
09/11/2023;14:00:00;0             ;146             ;5.15;
09/11/2023;15:00:00;0             ;146             ;5.15;
09/11/2023;16:00:00;0             ;146             ;5.15;
09/11/2023;17:00:00;0             ;146             ;5.15;
09/11/2023;18:00:00;0             ;146             ;5.15;
09/11/2023;19:00:00;0             ;146             ;5.15;
09/11/2023;20:00:00;0             ;146             ;5.15;
09/11/2023;21:00:00;0             ;146             ;5.15;
09/11/2023;22:00:00;0             ;146             ;5.15;
09/11/2023;23:00:00;0             ;146             ;5.15;
10/11/2023;00:00:00;0             ;146             ;5.15;
10/11/2023;01:00:00;0             ;146             ;5.15;
10/11/2023;02:00:00;0             ;146             ;5.15;
10/11/2023;03:00:00;0             ;146             ;5.15;
10/11/2023;04:00:00;0             ;146             ;5.15;
10/11/2023;05:00:00;0             ;147             ;5.28;
10/11/2023;06:00:00;0             ;146             ;5.15;
10/11/2023;07:00:00;0             ;146             ;5.15;
10/11/2023;08:00:00;0             ;145             ;5.02;
10/11/2023;09:00:00;0             ;145             ;5.02;
10/11/2023;10:00:00;0             ;145             ;5.02;
10/11/2023;11:00:00;0             ;144             ;4.89;
10/11/2023;12:00:00;0             ;145             ;5.02;
10/11/2023;13:00:00;0             ;144             ;4.89;
10/11/2023;14:00:00;0             ;145             ;5.02;
10/11/2023;15:00:00;0             ;144             ;4.89;
10/11/2023;16:00:00;0             ;144             ;4.89;
10/11/2023;17:00:00;0             ;144             ;4.89;
10/11/2023;18:00:00;0             ;145             ;5.02;
10/11/2023;19:00:00;0             ;145             ;5.02;
10/11/2023;20:00:00;0             ;145             ;5.02;
10/11/2023;21:00:00;0             ;145             ;5.02;
10/11/2023;22:00:00;0             ;145             ;5.02;
10/11/2023;23:00:00;0             ;145             ;5.02;
11/11/2023;00:00:00;0             ;145             ;5.02;
11/11/2023;01:00:00;0             ;145             ;5.02;
11/11/2023;02:00:00;0             ;145             ;5.02;
11/11/2023;03:00:00;0             ;145             ;5.02;
11/11/2023;04:00:00;0             ;145             ;5.02;
11/11/2023;05:00:00;0             ;145             ;5.02;
11/11/2023;06:00:00;0             ;145             ;5.02;
11/11/2023;07:00:00;0             ;144             ;4.89;
11/11/2023;08:00:00;0             ;144             ;4.89;
11/11/2023;09:00:00;0             ;144             ;4.89;
11/11/2023;10:00:00;0             ;144             ;4.89;
11/11/2023;11:00:00;0             ;144             ;4.89;
11/11/2023;12:00:00;0             ;142             ;4.64;
11/11/2023;13:00:00;0             ;142             ;4.64;
11/11/2023;14:00:00;0             ;142             ;4.64;
11/11/2023;15:00:00;0             ;142             ;4.64;
11/11/2023;16:00:00;0             ;142             ;4.64;
11/11/2023;17:00:00;0             ;142             ;4.64;
11/11/2023;18:00:00;0             ;144             ;4.89;
11/11/2023;19:00:00;0             ;144             ;4.89;
11/11/2023;20:00:00;0             ;144             ;4.89;
11/11/2023;21:00:00;0             ;144             ;4.89;
11/11/2023;22:00:00;0             ;144             ;4.89;
11/11/2023;23:00:00;0             ;144             ;4.89;
12/11/2023;00:00:00;0             ;144             ;4.89;
12/11/2023;01:00:00;0             ;144             ;4.89;
12/11/2023;02:00:00;0             ;144             ;4.89;
12/11/2023;03:00:00;0             ;144             ;4.89;
12/11/2023;04:00:00;0             ;144             ;4.89;
12/11/2023;05:00:00;0             ;145             ;5.02;
12/11/2023;06:00:00;0             ;144             ;4.89;
12/11/2023;07:00:00;0             ;144             ;4.89;
12/11/2023;08:00:00;0             ;142             ;4.64;
12/11/2023;09:00:00;0             ;142             ;4.64;
12/11/2023;10:00:00;0             ;141             ;4.52;
12/11/2023;11:00:00;0             ;141             ;4.52;
12/11/2023;12:00:00;0             ;141             ;4.52;
12/11/2023;13:00:00;0             ;141             ;4.52;
12/11/2023;14:00:00;0             ;141             ;4.52;
12/11/2023;15:00:00;0             ;141             ;4.52;
12/11/2023;16:00:00;0             ;141             ;4.52;
12/11/2023;17:00:00;0             ;141             ;4.52;
12/11/2023;18:00:00;0             ;141             ;4.52;
12/11/2023;19:00:00;0             ;142             ;4.64;
12/11/2023;20:00:00;0             ;142             ;4.64;
12/11/2023;21:00:00;0             ;142             ;4.64;
12/11/2023;22:00:00;0             ;142             ;4.64;
12/11/2023;23:00:00;0             ;142             ;4.64;
13/11/2023;00:00:00;0             ;142             ;4.64;
13/11/2023;01:00:00;0             ;142             ;4.64;
13/11/2023;02:00:00;0             ;142             ;4.64;
13/11/2023;03:00:00;0             ;142             ;4.64;
13/11/2023;04:00:00;0             ;142             ;4.64;
13/11/2023;05:00:00;0             ;142             ;4.64;
13/11/2023;06:00:00;0             ;142             ;4.64;
13/11/2023;07:00:00;0             ;141             ;4.52;
13/11/2023;08:00:00;0             ;141             ;4.52;
13/11/2023;09:00:00;0             ;140             ;4.39;
13/11/2023;10:00:00;0             ;140             ;4.39;
13/11/2023;11:00:00;0             ;140             ;4.39;
13/11/2023;12:00:00;0             ;140             ;4.39;
13/11/2023;13:00:00;0             ;140             ;4.39;
13/11/2023;14:00:00;0             ;140             ;4.39;
13/11/2023;15:00:00;0             ;140             ;4.39;
13/11/2023;16:00:00;0             ;140             ;4.39;
13/11/2023;17:00:00;0             ;140             ;4.39;
