Data;Hora;Chuva (mm);Nível (cm);Vazão (m3/s);
02/11/2023;12:00:00;             ;201.54             ;;
02/11/2023;12:15:00;             ;201.46             ;;
02/11/2023;12:30:00;             ;201.38             ;;
02/11/2023;12:45:00;             ;200.31             ;;
02/11/2023;13:00:00;             ;200.23             ;;
02/11/2023;13:15:00;             ;200.15             ;;
02/11/2023;13:30:00;             ;200.07             ;;
02/11/2023;13:45:00;             ;199.99             ;;
02/11/2023;14:00:00;             ;199.91             ;;
02/11/2023;14:15:00;             ;199.83             ;;
02/11/2023;14:30:00;             ;199.75             ;;
02/11/2023;14:45:00;             ;199.68             ;;
02/11/2023;15:00:00;             ;199.6             ;;
02/11/2023;15:15:00;             ;199.52             ;;
02/11/2023;15:30:00;             ;199.44             ;;
02/11/2023;15:45:00;             ;199.36             ;;
02/11/2023;16:00:00;             ;199.28             ;;
02/11/2023;16:15:00;             ;199.2             ;;
02/11/2023;16:30:00;             ;199.13             ;;
02/11/2023;16:45:00;             ;198.05             ;;
02/11/2023;17:00:00;             ;197.97             ;;
02/11/2023;17:15:00;             ;197.89             ;;
02/11/2023;17:30:00;             ;197.81             ;;
02/11/2023;17:45:00;             ;197.73             ;;
02/11/2023;18:00:00;             ;197.65             ;;
02/11/2023;18:15:00;             ;197.57             ;;
02/11/2023;18:30:00;             ;197.5             ;;
02/11/2023;18:45:00;             ;197.42             ;;
02/11/2023;19:00:00;             ;197.34             ;;
02/11/2023;19:15:00;             ;197.26             ;;
02/11/2023;19:30:00;             ;197.18             ;;
02/11/2023;19:45:00;             ;197.1             ;;
02/11/2023;20:00:00;             ;197.02             ;;
02/11/2023;20:15:00;             ;196.95             ;;
02/11/2023;20:30:00;             ;196.87             ;;
02/11/2023;20:45:00;             ;196.78             ;;
02/11/2023;22:00:00;             ;196.39             ;;
02/11/2023;22:15:00;             ;196.31             ;;
02/11/2023;22:30:00;             ;196.23             ;;
02/11/2023;22:45:00;             ;196.15             ;;
02/11/2023;23:00:00;             ;196.07             ;;
02/11/2023;23:15:00;             ;195.99             ;;
02/11/2023;23:30:00;             ;195.91             ;;
02/11/2023;23:45:00;             ;195.83             ;;
03/11/2023;00:00:00;             ;195.76             ;;
03/11/2023;00:15:00;             ;195.68             ;;
03/11/2023;00:30:00;             ;195.6             ;;
03/11/2023;00:45:00;             ;195.52             ;;
03/11/2023;01:00:00;             ;195.52             ;;
03/11/2023;01:15:00;             ;195.5             ;;
03/11/2023;01:30:00;             ;195.48             ;;
03/11/2023;01:45:00;             ;196.46             ;;
03/11/2023;02:00:00;             ;196.44             ;;
03/11/2023;02:15:00;             ;196.42             ;;
03/11/2023;02:30:00;             ;196.4             ;;
03/11/2023;02:45:00;             ;196.38             ;;
03/11/2023;03:00:00;             ;196.36             ;;
03/11/2023;03:15:00;             ;196.34             ;;
03/11/2023;03:30:00;             ;196.32             ;;
03/11/2023;03:45:00;             ;196.3             ;;
03/11/2023;04:00:00;             ;196.28             ;;
03/11/2023;04:15:00;             ;196.26             ;;
03/11/2023;04:30:00;             ;197.24             ;;
03/11/2023;04:45:00;             ;197.22             ;;
03/11/2023;05:00:00;             ;197.2             ;;
03/11/2023;05:15:00;             ;197.18             ;;
03/11/2023;05:30:00;             ;197.16             ;;
03/11/2023;05:45:00;             ;198.14             ;;
03/11/2023;06:00:00;             ;198.11             ;;
03/11/2023;06:15:00;             ;198.09             ;;
03/11/2023;06:30:00;             ;199.07             ;;
03/11/2023;06:45:00;             ;199.05             ;;
03/11/2023;07:00:00;             ;200.03             ;;
03/11/2023;07:15:00;             ;200.01             ;;
03/11/2023;07:30:00;             ;200.99             ;;
03/11/2023;07:45:00;             ;201.97             ;;
03/11/2023;08:00:00;             ;202.95             ;;
03/11/2023;08:15:00;             ;203.93             ;;
03/11/2023;08:30:00;             ;204.91             ;;
03/11/2023;08:45:00;             ;205.89             ;;
03/11/2023;09:00:00;             ;207.87             ;;
03/11/2023;09:15:00;             ;208.85             ;;
03/11/2023;09:30:00;             ;210.83             ;;
03/11/2023;09:45:00;             ;211.81             ;;
03/11/2023;10:00:00;             ;213.79             ;;
03/11/2023;10:15:00;             ;215.77             ;;
03/11/2023;10:30:00;             ;217.75             ;;
03/11/2023;10:45:00;             ;218.73             ;;
03/11/2023;11:00:00;             ;220.71             ;;
03/11/2023;11:15:00;             ;222.69             ;;
03/11/2023;11:30:00;             ;224.67             ;;
03/11/2023;11:45:00;             ;226.65             ;;
03/11/2023;12:00:00;             ;228.63             ;;
03/11/2023;12:15:00;             ;229.61             ;;
03/11/2023;12:30:00;             ;231.59             ;;
03/11/2023;12:45:00;             ;233.57             ;;
03/11/2023;13:00:00;             ;235.55             ;;
03/11/2023;13:15:00;             ;236.53             ;;
03/11/2023;13:30:00;             ;238.51             ;;
03/11/2023;13:45:00;             ;239.49             ;;
03/11/2023;14:00:00;             ;240.47             ;;
03/11/2023;14:15:00;             ;242.45             ;;
03/11/2023;14:30:00;             ;244.43             ;;
03/11/2023;14:45:00;             ;245.41             ;;
03/11/2023;15:00:00;             ;246.39             ;;
03/11/2023;15:15:00;             ;247.36             ;;
03/11/2023;15:30:00;             ;248.34             ;;
03/11/2023;15:45:00;             ;249.32             ;;
03/11/2023;16:00:00;             ;250.3             ;;
03/11/2023;16:15:00;             ;251.28             ;;
03/11/2023;16:30:00;             ;252.26             ;;
03/11/2023;16:45:00;             ;253.24             ;;
03/11/2023;17:00:00;             ;253.22             ;;
03/11/2023;17:15:00;             ;254.2             ;;
03/11/2023;17:30:00;             ;255.18             ;;
03/11/2023;17:45:00;             ;255.16             ;;
03/11/2023;18:00:00;             ;256.14             ;;
03/11/2023;18:15:00;             ;256.12             ;;
03/11/2023;18:30:00;             ;257.1             ;;
03/11/2023;18:45:00;             ;257.08             ;;
03/11/2023;19:00:00;             ;258.06             ;;
03/11/2023;19:15:00;             ;258.04             ;;
03/11/2023;19:30:00;             ;258.02             ;;
03/11/2023;19:45:00;             ;259             ;;
03/11/2023;21:00:00;             ;259.9             ;;
03/11/2023;21:15:00;             ;259.88             ;;
03/11/2023;21:30:00;             ;259.86             ;;
03/11/2023;21:45:00;             ;260.84             ;;
03/11/2023;22:00:00;             ;260.82             ;;
03/11/2023;22:15:00;             ;260.8             ;;
03/11/2023;22:30:00;             ;260.78             ;;
03/11/2023;22:45:00;             ;260.76             ;;
03/11/2023;23:00:00;             ;260.74             ;;
03/11/2023;23:15:00;             ;260.72             ;;
03/11/2023;23:30:00;             ;260.7             ;;
03/11/2023;23:45:00;             ;260.68             ;;
04/11/2023;00:00:00;             ;260.66             ;;
04/11/2023;00:15:00;             ;260.64             ;;
04/11/2023;00:30:00;             ;260.61             ;;
04/11/2023;00:45:00;             ;259.59             ;;
04/11/2023;01:00:00;             ;259.57             ;;
04/11/2023;01:15:00;             ;259.55             ;;
04/11/2023;01:30:00;             ;259.53             ;;
04/11/2023;01:45:00;             ;259.51             ;;
04/11/2023;02:00:00;             ;259.49             ;;
04/11/2023;02:15:00;             ;258.47             ;;
04/11/2023;02:30:00;             ;258.45             ;;
04/11/2023;02:45:00;             ;258.43             ;;
04/11/2023;03:00:00;             ;258.41             ;;
04/11/2023;03:15:00;             ;258.39             ;;
04/11/2023;03:30:00;             ;257.37             ;;
04/11/2023;03:45:00;             ;257.35             ;;
04/11/2023;04:00:00;             ;257.33             ;;
04/11/2023;04:15:00;             ;257.31             ;;
04/11/2023;04:30:00;             ;256.29             ;;
04/11/2023;04:45:00;             ;256.27             ;;
04/11/2023;05:00:00;             ;256.25             ;;
04/11/2023;05:15:00;             ;256.23             ;;
